NUME,PROFIL,DESCHIDERE,LUNGIME,INALTIME,CULOARE,STICLA,PRET,IMAGINE
fereastra,Rehau,1/1,2200,1200,alb,tripan,315,images/F7.png
fereastra,Rehau,1/1,2200,1200,color,tripan,378,images/F7.png
fereastra,Synego,1/1,2200,1200,alb,tripan,400,images/F7.png
fereastra,Synego,1/1,2200,1200,color,tripan,480,images/F7.png
fereastra,Geneo,1/1,2200,1200,alb,tripan,446,images/F7.png
fereastra,Geneo,1/1,2200,1200,color,tripan,535,images/F7.png
fereastra,Aluplast,1/2,2200,1200,alb,dubla,333,images/F8.png
fereastra,Aluplast,1/2,2200,1200,color,dubla,400,images/F8.png
fereastra,Aluplast,1/2,2200,1200,alb,tripan,368,images/F8.png
fereastra,Aluplast,1/2,2200,1200,color,tripan,442,images/F8.png
fereastra,Rehau,1/2,2200,1200,alb,dubla,353,images/F8.png
fereastra,Rehau,1/2,2200,1200,color,dubla,424,images/F8.png
fereastra,Rehau,1/2,2200,1200,alb,tripan,388,images/F8.png
fereastra,Rehau,1/2,2200,1200,color,tripan,466,images/F8.png
fereastra,Synego,1/2,2200,1200,alb,tripan,478,images/F8.png
fereastra,Synego,1/2,2200,1200,color,tripan,574,images/F8.png
fereastra,Geneo,1/2,2200,1200,alb,tripan,533,images/F8.png
fereastra,Geneo,1/2,2200,1200,color,tripan,640,images/F8.png
fereastra,Aluplast,1/1,900,1500,alb,dubla,165,images/F9.png
fereastra,Aluplast,1/1,900,1500,color,dubla,198,images/F9.png
fereastra,Aluplast,1/1,900,1500,alb,tripan,182,images/F9.png
fereastra,Aluplast,1/1,900,1500,color,tripan,218,images/F9.png
fereastra,Rehau,1/1,900,1500,alb,dubla,175,images/F9.png
fereastra,Rehau,1/1,900,1500,color,dubla,210,images/F9.png
fereastra,Rehau,1/1,900,1500,alb,tripan,193,images/F9.png
fereastra,Rehau,1/1,900,1500,color,tripan,231,images/F9.png
fereastra,Synego,1/1,900,1500,alb,tripan,237,images/F9.png
fereastra,Synego,1/1,900,1500,color,tripan,284,images/F9.png
fereastra,Geneo,1/1,900,1500,alb,tripan,264,images/F9.png
fereastra,Geneo,1/1,900,1500,color,tripan,317,images/F9.png
fereastra,Aluplast,1/1,1500,1500,alb,dubla,239,images/F10.png
fereastra,Aluplast,1/1,1500,1500,color,dubla,287,images/F10.png
fereastra,Aluplast,1/1,1500,1500,alb,tripan,325,images/F10.png
fereastra,Aluplast,1/1,1500,1500,color,tripan,390,images/F10.png
fereastra,Rehau,1/1,1500,1500,alb,dubla,253,images/F10.png
fereastra,Rehau,1/1,1500,1500,color,dubla,304,images/F10.png
fereastra,Rehau,1/1,1500,1500,alb,tripan,278,images/F10.png
fereastra,Rehau,1/1,1500,1500,color,tripan,334,images/F10.png
fereastra,Synego,1/1,1500,1500,alb,tripan,311,images/F10.png
fereastra,Synego,1/1,1500,1500,color,tripan,373,images/F10.png
fereastra,Geneo,1/1,1500,1500,alb,tripan,347,images/F10.png
fereastra,Geneo,1/1,1500,1500,color,tripan,416,images/F10.png
fereastra,Aluplast,1/2,1500,1500,alb,dubla,297,images/F11.png
fereastra,Aluplast,1/2,1500,1500,color,dubla,356,images/F11.png
fereastra,Aluplast,1/2,1500,1500,alb,tripan,336,images/F11.png
fereastra,Aluplast,1/2,1500,1500,color,tripan,392,images/F11.png
fereastra,Rehau,1/2,1500,1500,alb,dubla,314,images/F11.png
fereastra,Rehau,1/2,1500,1500,color,dubla,377,images/F11.png
fereastra,Rehau,1/2,1500,1500,alb,tripan,345,images/F11.png
fereastra,Rehau,1/2,1500,1500,color,tripan,415,images/F11.png
fereastra,Synego,1/2,1500,1500,alb,tripan,437,images/F11.png
fereastra,Synego,1/2,1500,1500,color,tripan,524,images/F11.png
fereastra,Geneo,1/2,1500,1500,alb,tripan,487,images/F11.png
fereastra,Geneo,1/2,1500,1500,color,tripan,585,images/F11.png
fereastra,Aluplast,1/3,2000,1500,alb,dubla,306,images/F12.png
fereastra,Aluplast,1/3,2000,1500,color,dubla,367,images/F12.png
fereastra,Aluplast,1/3,2000,1500,alb,tripan,350,images/F12.png
fereastra,Aluplast,1/3,2000,1500,color,tripan,420,images/F12.png
fereastra,Rehau,1/3,2000,1500,alb,dubla,324,images/F12.png
fereastra,Rehau,1/3,2000,1500,color,dubla,389,images/F12.png
fereastra,Rehau,1/3,2000,1500,alb,tripan,356,images/F12.png
fereastra,Rehau,1/3,2000,1500,color,tripan,428,images/F12.png
fereastra,Synego,1/3,2000,1500,alb,tripan,455,images/F12.png
fereastra,Synego,1/3,2000,1500,color,tripan,546,images/F12.png
fereastra,Geneo,1/3,2000,1500,alb,tripan,508,images/F12.png
fereastra,Geneo,1/3,2000,1500,color,tripan,609,images/F12.png
fereastra,Aluplast,2/3,2000,1500,alb,dubla,366,images/F13.png
fereastra,Aluplast,2/3,2000,1500,color,dubla,439,images/F13.png
fereastra,Aluplast,2/3,2000,1500,alb,tripan,406,images/F13.png
fereastra,Aluplast,2/3,2000,1500,color,tripan,487,images/F13.png
fereastra,Rehau,2/3,2000,1500,alb,dubla,388,images/F13.png
fereastra,Rehau,2/3,2000,1500,color,dubla,466,images/F13.png
fereastra,Rehau,2/3,2000,1500,alb,tripan,427,images/F13.png
fereastra,Rehau,2/3,2000,1500,color,tripan,512,images/F13.png
fereastra,Synego,2/3,2000,1500,alb,tripan,528,images/F13.png
fereastra,Synego,2/3,2000,1500,color,tripan,633,images/F13.png
fereastra,Geneo,2/3,2000,1500,alb,tripan,589,images/F13.png
fereastra,Geneo,2/3,2000,1500,color,tripan,706,images/F13.png
usa,Aluplast,1/1,1000,2100,alb,dubla,497,images/U1.png
